Москва,msk,37.617617,55.755811,Московская область
Санкт-Петербург,spb,30.315877,59.939099,Ленинградская область
Екатеринбург,ekb,60.597474,56.838011,Свердловская область
Новосибирск,nsk,82.920430,55.030204,Новосибирская область
Пермь,perm,56.229443,58.010455,Пермский край
Нижний Новгород,nn,44.006516,56.326797,Нижегородская область
Казань,kazan,49.106414,55.796127,Республика Татарстан (Татарстан)
Самара,samara,50.100202,53.195878,Самарская область
Уфа,ufa,55.958736,54.735152,Республика Башкортостан
Краснодар,krd,38.975313,45.035470,Краснодарский край
Ростов-на-Дону,rnd,39.4238,47.1426,Ростовская область
Челябинск,chlb,61.402554,55.159902,Челябинская область
Воронеж,vrn,39.200296,51.660781,Воронежская область
Ижевск,izh,53.206900,56.852676,Удмуртская Республика
Красноярск,krsk,92.852572,56.010569,Красноярский край
Сочи,sochi,39.723098,43.585472,Краснодарский край
Волгоград,vlgd,44.516975,48.707067,Волгоградская область
Тюмень,tmn,65.541227,57.152985,Тюменская область
Ярославль,yar,39.893813,57.626559,Ярославская область
Саратов,saratov,46.034266,51.533562,Саратовская область
Тула,tula,37.617348,54.193122,Тульская область
Владимир,vldmr,40.406635,56.129057,Владимирская область
Курск,kursk,36.193015,51.730846,Курская область
Иркутск,irk,104.280606,52.289588,Иркутская область
Барнаул,brn,83.776856,53.346785,Алтайский край
Благовещенск,blg,127.534611,50.257456,Амурская область
Архангельск,arh,40.515762,64.539911,Архангельская область
Астрахань,astr,48.030178,46.347614,Астраханская область
Белгород,blgr,36.587277,50.595414,Белгородская область
Брянск,bry,34.363425,53.243562,Брянская область
Нарьян-Мар,narm,53.006926,67.638050,Ненецкий автономный округ
Магас,mgs,44.803574,43.166787,Республика Ингушетия
Вологда,vlg,39.891523,59.220501,Вологодская область
Иваново,iva,40.973930,57.000353,Ивановская область
Курган,krg,65.341118,55.441004,Курганская область
Биробиджан,brb,132.924746,48.789920,Еврейская автономная область
Липецк,lip,39.599229,52.608826,Липецкая область
Магадан,mgd,150.808586,59.565155,Магаданская область
Кострома,kst,40.926858,57.767966,Костромская область
Киров,kir,49.668023,58.603595,Кировская область
Кемерово,kem,86.086847,55.355198,Кемеровская область
Калининград,klng,20.510137,54.710162,Калининградская область
Мурманск,mur,33.074918,68.970663,Мурманская область
Нальчик,nal,43.607081,43.485259,Кабардино-Балкарская Республика
Петрозаводск,ptr,34.346878,61.785021,Республика Карелия
Калуга,klg,36.261224,54.513845,Калужская область
Черкесск,che,42.048279,44.228374,Карачаево-Черкесская Республика
Петропавловск-Камчатский,ptk,158.643503,53.024265,Камчатский край
Великий Новгород,vng,31.269816,58.522857,Новгородская область
Улан-Удэ,uud,107.584547,51.834809,Республика Бурятия
Пенза,pnz,45.018316,53.195042,Пензенская область
Махачкала,mhk,47.504745,42.983100,Республика Дагестан
Элиста,els,44.269759,46.307743,Республика Калмыкия
Владивосток,vld,131.885494,43.115542,Приморский край
Сыктывкар,stk,50.836497,61.668797,Республика Коми
Псков,psk,28.332460,57.819274,Псковская область
Рязань,ryz,39.741917,54.629565,Рязанская область
Орёл,orl,36.064358,52.970756,Орловская область
Майкоп,mkp,40.105852,44.606683,Республика Адыгея (Адыгея)
Омск,oms,73.368221,54.989347,Омская область
Оренбург,orb,55.096964,51.768205,Оренбургская область
Смоленск,smln,32.045287,54.782635,Смоленская область
Абакан,abkn,91.442396,53.721152,Республика Хакасия
Южно-Сахалинск,sakh,142.729587,46.957771,Сахалинская область
Горно-Алтайск,alt,85.960634,51.957804,Республика Алтай
Ставрополь,stvr,41.969110,45.043317,Ставропольский край
Тамбов,tbv,41.452750,52.721295,Тамбовская область
Тверь,tver,35.911860,56.859625,Тверская область
Томск,tom,84.947649,56.484645,Томская область
Ханты-Мансийск,hmnsk,69.018911,61.003184,Ханты-Мансийский автономный округ – Югра
Чита,chi,113.501049,52.033635,Забайкальский край
Чебоксары,chb,47.247728,56.139918,Чувашская Республика – Чувашия
Хабаровск,hab,135.071917,48.48022,Хабаровский край
Анадырь,andr,177.518913,64.735814,Чукотский автономный округ
Салехард,slh,66.614507,66.529866,Ямало-Ненецкий автономный округ
Владикавказ,vldkv,44.681771,43.024616,Республика Северная Осетия – Алания
Якутск,yakt,129.732178,62.027221,Республика Саха (Якутия)
Йошкар-Ола,jshk,47.886178,56.631600,Республика Марий Эл
Саранск,srnsk,45.183938,54.187433,Республика Мордовия
Ульяновск,uln,48.403132,54.314192,Ульяновская область
Тольятти,tlt,49.420411,53.507852,Самарская область
Вышний Волочёк,vvol,34.558836,57.584174,Тверская область
Димитровград,dim,49.623924,54.217515,Ульяновская область
Альметьевск,alm,52.297230,54.901171,Республика Татарстан (Татарстан)
Елец,elec,38.500446,52.621938,Липецкая область
Армавир,arm,41.129644,44.997655,Краснодарский край
Анапа,anp,37.316367,44.894818,Краснодарский край
Таганрог,tgn,38.936694,47.208735,Ростовская область
Батайск,bts,39.744469,47.138333,Ростовская область
Нижний Тагил,ntgl,59.971474,57.907562,Свердловская область
Волжский,vlzh,44.751229,48.786127,Волгоградская область
Новороссийск,nvr,37.768813,44.723771,Краснодарский край
Орск,ors,58.474675,51.229300,Оренбургская область
Ангарск,angr,103.888249,52.544358,Иркутская область
Озёрск,ozrsk,60.707608,55.763189,Челябинская область
Энгельс,ehng,46.124052,51.501050,Саратовская область
Канск,knsk,95.705064,56.205050,Красноярский край
Сарапул,srp,53.803687,56.461218,Удмуртская Республика
Воткинск,vtkn,53.985236,57.052320,Удмуртская Республика
Можга,mzhg,52.213022,56.440244,Удмуртская Республика
Глазов,glz,52.674253,58.140801,Удмуртская Республика
Агрыз,agr,52.995266,56.526323,Республика Татарстан (Татарстан)
Камбарка,kmbr,54.193475,56.266957,Удмуртская Республика
Геленджик,glnd,38.077115,44.561012,Краснодарский край
Михайловск,mhjl,42.028803,45.129667,Ставропольский край
Азов,azov,39.423581,47.112448,Ростовская область
Шадринск,shad,63.629747,56.087042,Курганская область
Обнинск,obn,36.586459,55.112020,Калужская область
Шебекино,shbk,36.879319,50.404344,Белгородская область
Строитель,strt,36.486998,50.785172,Белгородская область
Новокузнецк,nkz,87.136053,53.757553,Кемеровская область
Северодвинск,svrd,39.823781,64.563386,Архангельская область
Ухта,uht,53.663999,63.566006,Республика Коми
Череповец,chpv,37.903470,59.122612,Вологодская область
Великие Луки,vll,30.515671,56.343703,Псковская область
Соликамск,slk,56.770391,59.649193,Пермский край
Чайковский,chksk,54.148810,56.778081,Пермский край
Дзержинск,dzrzh,43.461634,56.238382,Нижегородская область
Арзамас,arz,43.814133,55.386799,Нижегородская область
Саров,srv,43.344853,54.922793,Нижегородская область
Ковров,kvr,41.310933,56.362506,Владимирская область
Муром,mrm,42.052411,55.579174,Владимирская область
Новочебоксарск,nchk,47.476807,56.108738,Чувашская Республика – Чувашия
Зеленодольск,zldk,48.492802,55.847048,Республика Татарстан (Татарстан)
Набережные Челны,nbc,52.403662,55.741272,Республика Татарстан (Татарстан)
Нижнекамск,nzhk,51.819712,55.637576,Республика Татарстан (Татарстан)
Бийск,bsk,85.220656,52.541811,Алтайский край
Рубцовск,rbk,81.217673,51.527623,Алтайский край
Кызыл,kzl,94.437990,51.719890,Республика Тыва
Прокопьевск,prk,86.750055,53.884493,Кемеровская область
Рыбинск,ryb,38.855711,58.048640,Ярославская область
Стерлитамак,str,55.930825,53.630403,Республика Башкортостан
Нижневартовск,nzhn,76.558902,60.938545,Ханты-Мансийский автономный округ – Югра
Сургут,srgt,73.393032,61.241778,Ханты-Мансийский автономный округ – Югра
Магнитогорск,mgn,58.980291,53.407163,Челябинская область
Старый Оскол,stosk,37.833231,51.297974,Белгородская область
Шахты,sht,40.215401,47.709237,Ростовская область
Грозный,grzn,45.692421,43.318366,Чеченская Республика
Бердск,brd,83.107135,54.758288,Новосибирская область
Хасавюрт,hsv,46.590044,43.246272,Республика Дагестан
Уссурийск,usr,131.952122,43.797247,Приморский край
Сызрань,szr,48.474611,53.155669,Самарская область
Северск,svr,38.090239,48.867645,Томская область
Салават,slv,55.924681,53.361651,Республика Башкортостан
Пятигорск,ptg,43.070643,44.039802,Ставропольский край
Первоуральск,prv,59.943267,56.905819,Свердловская область
Октябрьский,okt,53.465570,54.481454,Республика Башкортостан
Ноябрьск,nbr,75.450938,63.201805,Ямало-Ненецкий автономный округ
